id,model_name,eval_method,exact_match,similarity,bleu3,rouge_l,difficulty,project_size,tokens_total,tokens_in,tokens_out,total_cost,processing_time_s
100853987825,groq:qwen/qwen3-32b,agent,0.0,0.8733728046568188,0.8993182104192681,0.915767490428124,easy,huge,7971,3761,4210,0.003575,58.513
100853987825,groq:qwen/qwen3-32b,bypass7,0.0,0.9264373587747928,0.9261976269763598,0.9645808736717828,easy,huge,11829,9879,1950,0.004015,34.201
100853987825,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.1274051080729463,0.0015216366517157,0.1817282321899736,easy,huge,13465,11818,1647,0.0,41.278
100853987825,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9264373587747928,0.9261976269763598,0.9645808736717828,easy,huge,28000,26253,1747,0.0,54.516
100853987825,openai/gpt-5-nano,agent,0.0,0.6112797571497044,0.4934205477543366,0.7530498637924908,easy,huge,18838,11890,6948,0.003374,88.7
100853987825,openai/gpt-5-nano,bypass7,0.0,0.9264373587747928,0.9261976269763598,0.9645808736717828,easy,huge,29523,27546,1977,0.002168,92.356
101855817435,groq:qwen/qwen3-32b,agent,0.0,0.0202312138728323,0.034302429746544,0.038095238095238,easy,medium,356,172,184,0.000158,2.686
101855817435,groq:qwen/qwen3-32b,bypass7,1.0,0.9545454545454546,1.0,1.0,easy,medium,5500,3055,2445,0.002328,8.338
101855817435,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.6774193548387097,0.5313292845913057,0.8,easy,medium,317,304,13,0.0,1.802
101855817435,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9523809523809524,0.78089666561908,0.75,easy,medium,1992,1731,261,0.0,7.275
101855817435,openai/gpt-5-nano,agent,1.0,1.0,1.0,1.0,easy,medium,311,300,11,1.9e-05,4.019
101855817435,openai/gpt-5-nano,bypass7,1.0,0.9545454545454546,1.0,1.0,easy,medium,3841,2906,935,0.000519,29.313
102279904217,groq:qwen/qwen3-32b,agent,0.0,0.1049458128078817,0.1077185641679724,0.1402483564645727,medium,medium,3952,1113,2839,0.001998,15.421
102279904217,groq:qwen/qwen3-32b,bypass7,0.0,0.9910044977511244,0.9878635334311068,0.9895833333333334,medium,medium,5220,3801,1419,0.00194,8.156
102279904217,local:meta-llama/Llama-3.1-8B-Instruct,agent,0.0,0.3165950128976784,0.3416550111008065,0.4243697478991596,medium,medium,4573,3195,1378,0.0,32.238
102279904217,local:meta-llama/Llama-3.1-8B-Instruct,bypass7,0.0,0.9910044977511244,0.9878635334311068,0.9895833333333334,medium,medium,11356,9304,2052,0.0,47.413
102279904217,openai/gpt-5-nano,agent,0.0,0.500956754688098,0.4853620302291234,0.6380090497737557,medium,medium,4432,3191,1241,0.000656,45.858
102279904217,openai/gpt-5-nano,bypass7,0.0,0.9910044977511244,0.9878635334311068,0.9895833333333334,medium,medium,12999,10296,2703,0.001596,61.153
